Unnamed: 0,state,state_postal,state_fips,state_icpsr,county_name,county_fips,county_ansi,county_lat,county_long,jurisdiction,precinct,candidate,candidate_normalized,office,district,writein,party,mode,votes,candidate_fec,candidate_fec_name
1849170,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Hillary Clinton,clinton,US President,statewide,False,democratic,total,784,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849171,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Gary Johnson,johnson,US President,statewide,False,libertarian,total,32,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849172,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Jill Stein,stein,US President,statewide,False,green,total,8,P20003984,"STEIN, JILL"
1849173,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Donald Trump,trump,US President,statewide,False,republican,total,644,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849174,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,[Write-in],in,US President,statewide,True,,total,3,,
1849175,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,# AB - Central Absentee Precinct,Evan McMullin,mcmullin,US President,statewide,False,independent,total,16,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849176,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,Hillary Clinton,clinton,US President,statewide,False,democratic,total,3,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849177,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,Gary Johnson,johnson,US President,statewide,False,libertarian,total,2,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849178,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,Jill Stein,stein,US President,statewide,False,green,total,0,P20003984,"STEIN, JILL"
1849179,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,Donald Trump,trump,US President,statewide,False,republican,total,1,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849180,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,[Write-in],in,US President,statewide,True,,total,0,,
1849181,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,## Provisional,Evan McMullin,mcmullin,US President,statewide,False,independent,total,0,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849182,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Hillary Clinton,clinton,US President,statewide,False,democratic,total,444,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849183,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Gary Johnson,johnson,US President,statewide,False,libertarian,total,26,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849184,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Jill Stein,stein,US President,statewide,False,green,total,7,P20003984,"STEIN, JILL"
1849185,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Donald Trump,trump,US President,statewide,False,republican,total,1188,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849186,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,[Write-in],in,US President,statewide,True,,total,5,,
1849187,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,101 - CHINCOTEAGUE,Evan McMullin,mcmullin,US President,statewide,False,independent,total,10,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849188,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,Hillary Clinton,clinton,US President,statewide,False,democratic,total,175,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849189,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,Gary Johnson,johnson,US President,statewide,False,libertarian,total,13,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849190,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,Jill Stein,stein,US President,statewide,False,green,total,1,P20003984,"STEIN, JILL"
1849191,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,Donald Trump,trump,US President,statewide,False,republican,total,553,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849192,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,[Write-in],in,US President,statewide,True,,total,1,,
1849193,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,201 - ATLANTIC,Evan McMullin,mcmullin,US President,statewide,False,independent,total,7,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849194,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,Hillary Clinton,clinton,US President,statewide,False,democratic,total,302,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849195,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,Gary Johnson,johnson,US President,statewide,False,libertarian,total,17,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849196,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,Jill Stein,stein,US President,statewide,False,green,total,7,P20003984,"STEIN, JILL"
1849197,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,Donald Trump,trump,US President,statewide,False,republican,total,697,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849198,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,[Write-in],in,US President,statewide,True,,total,3,,
1849199,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,202 - GREENBACKVILLE,Evan McMullin,mcmullin,US President,statewide,False,independent,total,4,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849200,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,Hillary Clinton,clinton,US President,statewide,False,democratic,total,713,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849201,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,Gary Johnson,johnson,US President,statewide,False,libertarian,total,21,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849202,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,Jill Stein,stein,US President,statewide,False,green,total,3,P20003984,"STEIN, JILL"
1849203,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,Donald Trump,trump,US President,statewide,False,republican,total,592,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849204,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,[Write-in],in,US President,statewide,True,,total,5,,
1849205,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,301 - NEW CHURCH,Evan McMullin,mcmullin,US President,statewide,False,independent,total,4,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849206,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Hillary Clinton,clinton,US President,statewide,False,democratic,total,141,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
1849207,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Gary Johnson,johnson,US President,statewide,False,libertarian,total,9,P60012234,"JOHNSON, JOHN FITZGERALD MR."
1849208,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Jill Stein,stein,US President,statewide,False,green,total,1,P20003984,"STEIN, JILL"
1849209,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Donald Trump,trump,US President,statewide,False,republican,total,342,P80001571,"TRUMP, DONALD J. / MICHAEL R. PENCE"
1849210,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,[Write-in],in,US President,statewide,True,,total,0,,
1849211,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,401 - BLOXOM,Evan McMullin,mcmullin,US President,statewide,False,independent,total,3,P60022654,"MCMULLIN, EVAN / MINDY FINN"
1849212,Virginia,VA,51,40,Accomack County,51001.0,1480091.0,37.76594,-75.75780999999998,ACCOMACK COUNTY,402 - PARKSLEY,Hillary Clinton,clinton,US President,statewide,False,democratic,total,218,P00003392,"CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE"
