,Survived,Pclass,Sex,Age,Fare,Embarked,Class
0,0,3,male,22.0,7.25,Southampton,3rd Class
1,1,1,female,38.0,71.2833,Cherbourg,1st Class
2,1,3,female,26.0,7.925,Southampton,3rd Class
3,1,1,female,35.0,53.1,Southampton,1st Class
4,0,3,male,35.0,8.05,Southampton,3rd Class
6,0,1,male,54.0,51.8625,Southampton,1st Class
7,0,3,male,2.0,21.075,Southampton,3rd Class
8,1,3,female,27.0,11.1333,Southampton,3rd Class
9,1,2,female,14.0,30.0708,Cherbourg,2nd Class
10,1,3,female,4.0,16.7,Southampton,3rd Class
11,1,1,female,58.0,26.55,Southampton,1st Class
12,0,3,male,20.0,8.05,Southampton,3rd Class
13,0,3,male,39.0,31.275,Southampton,3rd Class
14,0,3,female,14.0,7.8542,Southampton,3rd Class
15,1,2,female,55.0,16.0,Southampton,2nd Class
16,0,3,male,2.0,29.125,Queenstown,3rd Class
18,0,3,female,31.0,18.0,Southampton,3rd Class
20,0,2,male,35.0,26.0,Southampton,2nd Class
21,1,2,male,34.0,13.0,Southampton,2nd Class
22,1,3,female,15.0,8.0292,Queenstown,3rd Class
23,1,1,male,28.0,35.5,Southampton,1st Class
24,0,3,female,8.0,21.075,Southampton,3rd Class
25,1,3,female,38.0,31.3875,Southampton,3rd Class
27,0,1,male,19.0,263.0,Southampton,1st Class
30,0,1,male,40.0,27.7208,Cherbourg,1st Class
33,0,2,male,66.0,10.5,Southampton,2nd Class
34,0,1,male,28.0,82.1708,Cherbourg,1st Class
35,0,1,male,42.0,52.0,Southampton,1st Class
37,0,3,male,21.0,8.05,Southampton,3rd Class
38,0,3,female,18.0,18.0,Southampton,3rd Class
39,1,3,female,14.0,11.2417,Cherbourg,3rd Class
40,0,3,female,40.0,9.475,Southampton,3rd Class
41,0,2,female,27.0,21.0,Southampton,2nd Class
43,1,2,female,3.0,41.5792,Cherbourg,2nd Class
44,1,3,female,19.0,7.8792,Queenstown,3rd Class
49,0,3,female,18.0,17.8,Southampton,3rd Class
50,0,3,male,7.0,39.6875,Southampton,3rd Class
51,0,3,male,21.0,7.8,Southampton,3rd Class
52,1,1,female,49.0,76.7292,Cherbourg,1st Class
53,1,2,female,29.0,26.0,Southampton,2nd Class
54,0,1,male,65.0,61.9792,Cherbourg,1st Class
56,1,2,female,21.0,10.5,Southampton,2nd Class
57,0,3,male,28.5,7.2292,Cherbourg,3rd Class
58,1,2,female,5.0,27.75,Southampton,2nd Class
59,0,3,male,11.0,46.9,Southampton,3rd Class
60,0,3,male,22.0,7.2292,Cherbourg,3rd Class
62,0,1,male,45.0,83.475,Southampton,1st Class
63,0,3,male,4.0,27.9,Southampton,3rd Class
66,1,2,female,29.0,10.5,Southampton,2nd Class
67,0,3,male,19.0,8.1583,Southampton,3rd Class
68,1,3,female,17.0,7.925,Southampton,3rd Class
69,0,3,male,26.0,8.6625,Southampton,3rd Class
70,0,2,male,32.0,10.5,Southampton,2nd Class
71,0,3,female,16.0,46.9,Southampton,3rd Class
72,0,2,male,21.0,73.5,Southampton,2nd Class
73,0,3,male,26.0,14.4542,Cherbourg,3rd Class
74,1,3,male,32.0,56.4958,Southampton,3rd Class
75,0,3,male,25.0,7.65,Southampton,3rd Class
78,1,2,male,0.83,29.0,Southampton,2nd Class
79,1,3,female,30.0,12.475,Southampton,3rd Class
80,0,3,male,22.0,9.0,Southampton,3rd Class
81,1,3,male,29.0,9.5,Southampton,3rd Class
83,0,1,male,28.0,47.1,Southampton,1st Class
84,1,2,female,17.0,10.5,Southampton,2nd Class
85,1,3,female,33.0,15.85,Southampton,3rd Class
86,0,3,male,16.0,34.375,Southampton,3rd Class
88,1,1,female,23.0,263.0,Southampton,1st Class
89,0,3,male,24.0,8.05,Southampton,3rd Class
90,0,3,male,29.0,8.05,Southampton,3rd Class
91,0,3,male,20.0,7.8542,Southampton,3rd Class
92,0,1,male,46.0,61.175,Southampton,1st Class
93,0,3,male,26.0,20.575,Southampton,3rd Class
94,0,3,male,59.0,7.25,Southampton,3rd Class
96,0,1,male,71.0,34.6542,Cherbourg,1st Class
97,1,1,male,23.0,63.3583,Cherbourg,1st Class
98,1,2,female,34.0,23.0,Southampton,2nd Class
99,0,2,male,34.0,26.0,Southampton,2nd Class
100,0,3,female,28.0,7.8958,Southampton,3rd Class
102,0,1,male,21.0,77.2875,Southampton,1st Class
103,0,3,male,33.0,8.6542,Southampton,3rd Class
104,0,3,male,37.0,7.925,Southampton,3rd Class
105,0,3,male,28.0,7.8958,Southampton,3rd Class
106,1,3,female,21.0,7.65,Southampton,3rd Class
108,0,3,male,38.0,7.8958,Southampton,3rd Class
110,0,1,male,47.0,52.0,Southampton,1st Class
111,0,3,female,14.5,14.4542,Cherbourg,3rd Class
112,0,3,male,22.0,8.05,Southampton,3rd Class
113,0,3,female,20.0,9.825,Southampton,3rd Class
114,0,3,female,17.0,14.4583,Cherbourg,3rd Class
115,0,3,male,21.0,7.925,Southampton,3rd Class
116,0,3,male,70.5,7.75,Queenstown,3rd Class
117,0,2,male,29.0,21.0,Southampton,2nd Class
118,0,1,male,24.0,247.5208,Cherbourg,1st Class
119,0,3,female,2.0,31.275,Southampton,3rd Class
120,0,2,male,21.0,73.5,Southampton,2nd Class
122,0,2,male,32.5,30.0708,Cherbourg,2nd Class
123,1,2,female,32.5,13.0,Southampton,2nd Class
124,0,1,male,54.0,77.2875,Southampton,1st Class
125,1,3,male,12.0,11.2417,Cherbourg,3rd Class
127,1,3,male,24.0,7.1417,Southampton,3rd Class
129,0,3,male,45.0,6.975,Southampton,3rd Class
130,0,3,male,33.0,7.8958,Cherbourg,3rd Class
131,0,3,male,20.0,7.05,Southampton,3rd Class
132,0,3,female,47.0,14.5,Southampton,3rd Class
133,1,2,female,29.0,26.0,Southampton,2nd Class
134,0,2,male,25.0,13.0,Southampton,2nd Class
135,0,2,male,23.0,15.0458,Cherbourg,2nd Class
136,1,1,female,19.0,26.2833,Southampton,1st Class
137,0,1,male,37.0,53.1,Southampton,1st Class
138,0,3,male,16.0,9.2167,Southampton,3rd Class
139,0,1,male,24.0,79.2,Cherbourg,1st Class
141,1,3,female,22.0,7.75,Southampton,3rd Class
142,1,3,female,24.0,15.85,Southampton,3rd Class
143,0,3,male,19.0,6.75,Queenstown,3rd Class
